s_id,p_id,value,currency,stock,score
SHOP0261,P00674,828.51,GBP,44,1.7
SHOP0424,P00553,311.13,USD,165,4.6
SHOP0107,P00273,305.78,USD,156,1.0
SHOP0458,P00111,172.55,GBP,108,1.6
SHOP0261,P00534,237.87,TRY,392,0.1
SHOP0443,P00828,235.66,TRY,47,1.8
SHOP0250,P00615,454.82,USD,121,1.4
SHOP0368,P00880,439.01,GBP,335,2.3
SHOP0246,P00194,235.66,GBP,450,3.4
SHOP0417,P00450,733.03,USD,436,4.0
SHOP0218,P00916,805.09,GBP,173,3.2
SHOP0039,P00374,749.94,USD,93,3.3
SHOP0093,P00538,999.39,USD,491,3.5
SHOP0093,P00255,62.67,EUR,0,0.0
SHOP0374,P00687,331.02,TRY,368,2.1
SHOP0276,P00648,979.52,GBP,34,1.2
SHOP0112,P00659,635.88,GBP,255,0.5
SHOP0280,P00607,308.5,EUR,73,3.6
SHOP0392,P00174,763.97,TRY,189,2.3
SHOP0022,P00996,618.1,TRY,143,2.8
SHOP0472,P00780,727.1,USD,31,4.4
SHOP0434,P00080,253.72,EUR,304,0.1
SHOP0043,P00647,179.64,EUR,69,3.2
SHOP0226,P00459,16.69,TRY,407,3.6
SHOP0054,P00854,733.17,EUR,91,1.3
SHOP0420,P00045,938.58,GBP,191,4.5
SHOP0123,P00971,385.8,TRY,54,1.0
SHOP0382,P00431,234.34,GBP,35,4.9
SHOP0460,P00226,364.9,TRY,379,4.3
SHOP0481,P00805,749.97,EUR,289,3.2
SHOP0361,P00127,13.59,EUR,478,3.0
SHOP0379,P00060,163.79,EUR,7,2.5
SHOP0455,P00276,278.25,GBP,440,0.2
SHOP0484,P00056,985.53,EUR,283,2.3
SHOP0228,P00433,585.68,EUR,354,2.5
SHOP0258,P00739,256.07,GBP,500,1.7
SHOP0373,P00980,541.54,TRY,422,2.4
SHOP0422,P00951,328.51,EUR,229,3.9
SHOP0005,P00407,606.3,GBP,223,1.1
SHOP0064,P00111,979.37,EUR,459,4.4
SHOP0324,P00677,822.82,USD,440,3.1
SHOP0498,P00551,225.1,GBP,140,4.9
SHOP0423,P00391,188.54,USD,38,2.6
SHOP0345,P00212,37.91,TRY,366,2.9
SHOP0238,P00872,877.82,GBP,364,2.0
SHOP0064,P00008,453.77,TRY,98,2.6
SHOP0239,P00336,664.35,EUR,316,3.3
SHOP0348,P00029,733.51,GBP,65,4.9
SHOP0441,P00905,485.95,USD,305,3.1
SHOP0007,P00358,250.19,TRY,163,4.1
SHOP0007,P00584,865.47,GBP,308,2.2
SHOP0089,P00882,81.38,USD,200,3.4
SHOP0422,P00558,717.23,GBP,197,2.8
SHOP0037,P00516,867.55,USD,475,4.5
SHOP0455,P00614,949.81,TRY,280,4.6
SHOP0134,P00667,329.35,EUR,93,1.4
SHOP0457,P00292,256.1,EUR,475,1.5
SHOP0129,P00632,409.39,TRY,70,2.7
SHOP0383,P00827,304.37,USD,120,1.2
SHOP0208,P00534,972.96,USD,74,1.2
SHOP0471,P00719,716.62,EUR,0,1.1
SHOP0070,P00324,300.35,USD,481,1.1
SHOP0149,P00735,638.37,GBP,490,2.4
SHOP0129,P00530,472.09,TRY,176,4.8
SHOP0136,P00992,126.67,EUR,428,4.9
SHOP0265,P00960,719.41,EUR,394,0.7
SHOP0417,P00014,992.52,GBP,139,3.6
SHOP0462,P00282,384.85,TRY,356,0.8
SHOP0044,P00192,911.79,USD,275,0.9
SHOP0324,P00549,220.68,TRY,162,2.4
SHOP0256,P00296,618.99,USD,274,2.2
SHOP0183,P00982,587.65,GBP,276,4.8
SHOP0055,P00140,536.04,EUR,250,2.1
SHOP0094,P00054,821.22,USD,55,2.0
SHOP0430,P00520,752.86,TRY,65,3.5
SHOP0471,P00392,795.15,EUR,61,2.2
SHOP0165,P00382,825.67,USD,225,4.5
SHOP0218,P00041,356.93,GBP,240,4.5
SHOP0443,P00369,748.46,EUR,232,3.9
SHOP0196,P00419,989.81,USD,184,1.2
SHOP0030,P00342,935.89,TRY,415,2.4
SHOP0134,P00257,980.07,USD,62,3.7
SHOP0431,P00882,348.51,GBP,447,0.6
SHOP0291,P00478,900.82,USD,187,1.6
SHOP0351,P00671,688.34,EUR,365,0.9
SHOP0320,P00657,313.86,USD,397,2.8
SHOP0312,P00765,493.5,USD,317,3.9
SHOP0339,P00139,579.02,TRY,235,1.9
SHOP0236,P00296,214.32,GBP,359,2.2
SHOP0457,P00565,334.43,USD,35,1.2
SHOP0039,P00590,317.55,TRY,436,4.9
SHOP0343,P00396,60.03,GBP,235,1.3
SHOP0070,P00625,377.38,USD,51,0.7
SHOP0436,P00935,298.39,USD,426,4.6
SHOP0088,P00070,471.46,TRY,150,1.2
SHOP0267,P00519,326.05,USD,484,0.4
SHOP0173,P00481,90.4,USD,240,4.7
SHOP0344,P00977,326.23,GBP,233,3.7
SHOP0474,P00820,101.26,TRY,469,0.7
SHOP0228,P00590,198.61,EUR,54,4.4
SHOP0285,P00461,949.28,USD,3,3.2
SHOP0228,P00815,422.76,TRY,419,3.5
SHOP0285,P00674,45.61,GBP,469,0.4
SHOP0354,P00480,676.38,GBP,217,2.7
SHOP0298,P00473,692.73,TRY,471,0.5
SHOP0206,P00237,420.2,USD,158,4.2
SHOP0307,P00483,862.27,EUR,423,2.4
SHOP0108,P00749,226.65,GBP,329,1.3
SHOP0403,P00897,807.52,GBP,421,1.1
SHOP0438,P00459,652.24,USD,394,4.9
SHOP0114,P00959,42.53,USD,408,4.1
SHOP0244,P00523,240.4,USD,197,3.0
SHOP0193,P00625,634.6,GBP,375,2.6
SHOP0166,P00642,663.85,EUR,137,4.8
SHOP0208,P00435,347.55,EUR,71,3.2
SHOP0390,P00938,802.06,EUR,162,4.3
SHOP0147,P00284,86.26,EUR,373,3.3
SHOP0139,P00626,566.55,GBP,386,0.8
SHOP0109,P00452,473.48,TRY,319,2.2
SHOP0481,P00358,460.83,GBP,413,0.9
SHOP0109,P00075,236.51,EUR,271,3.9
SHOP0313,P00792,481.61,GBP,137,1.2
SHOP0190,P00585,391.76,EUR,73,1.9
SHOP0069,P00443,196.75,EUR,155,4.7
SHOP0014,P00073,8.95,GBP,27,3.9
SHOP0120,P00673,6.87,TRY,116,0.5
SHOP0412,P00565,794.6,GBP,450,1.0
SHOP0085,P00933,723.33,GBP,89,0.5
SHOP0179,P00933,818.42,TRY,29,4.9
SHOP0477,P00072,625.78,TRY,295,4.5
SHOP0275,P00914,88.25,EUR,233,4.0
SHOP0179,P00455,749.9,TRY,258,0.5
SHOP0491,P00896,169.95,EUR,377,2.4
SHOP0404,P00490,58.22,USD,230,2.2
SHOP0112,P00387,179.8,GBP,255,4.5
SHOP0375,P00700,518.85,EUR,330,4.4
SHOP0479,P00644,702.73,EUR,400,3.8
SHOP0162,P00479,89.61,USD,79,0.8
SHOP0210,P00682,53.71,GBP,190,2.4
SHOP0371,P00818,474.46,TRY,469,4.7
SHOP0380,P00468,874.38,USD,243,4.8
SHOP0029,P00186,626.9,TRY,364,0.9
SHOP0362,P00914,613.19,USD,442,4.2
SHOP0281,P00670,96.33,GBP,6,4.9
SHOP0300,P00932,397.46,EUR,146,0.6
SHOP0431,P00824,148.34,EUR,228,3.5
SHOP0105,P00732,49.81,TRY,457,3.6
SHOP0219,P00684,410.0,USD,473,3.9
SHOP0253,P00119,104.51,USD,492,4.6
SHOP0088,P00520,567.55,EUR,1,0.3
SHOP0229,P00892,494.23,TRY,351,3.3
SHOP0223,P00082,431.83,EUR,280,3.4
SHOP0308,P00033,104.18,GBP,336,2.2
SHOP0353,P00176,646.51,USD,62,4.0
SHOP0151,P00403,362.42,TRY,175,1.2
SHOP0117,P00003,296.81,EUR,2,4.0
SHOP0436,P00346,479.62,GBP,74,1.0
SHOP0185,P00864,377.35,EUR,176,1.8
SHOP0476,P00204,638.34,GBP,116,1.7
SHOP0102,P00683,139.35,USD,105,4.9
SHOP0253,P00310,624.72,TRY,345,3.3
SHOP0083,P00470,639.54,GBP,271,4.3
SHOP0397,P00181,445.67,GBP,481,3.5
SHOP0282,P00861,842.75,TRY,164,0.7
SHOP0299,P00778,649.62,USD,200,4.2
SHOP0495,P00238,628.73,EUR,281,0.4
SHOP0481,P00265,70.11,EUR,264,3.3
SHOP0466,P00685,40.71,EUR,69,3.3
SHOP0484,P00662,923.0,TRY,161,3.8
SHOP0155,P00325,231.74,TRY,320,0.4
SHOP0274,P00041,51.02,USD,134,4.8
SHOP0043,P00179,201.16,TRY,59,4.7
SHOP0317,P00457,150.52,USD,414,2.3
SHOP0035,P00542,414.74,EUR,82,1.6
SHOP0444,P00012,73.89,EUR,314,0.9
SHOP0098,P00440,253.99,TRY,47,0.6
SHOP0414,P00783,677.08,GBP,168,4.2
SHOP0062,P00229,117.47,TRY,227,1.7
SHOP0209,P00870,565.62,USD,342,2.6
SHOP0094,P00121,86.84,GBP,330,3.1
SHOP0448,P00773,611.81,EUR,349,1.0
SHOP0373,P00235,125.58,USD,176,3.7
SHOP0356,P00024,522.53,TRY,355,3.5
SHOP0042,P00922,563.37,TRY,181,2.2
SHOP0149,P00383,383.02,EUR,164,1.4
SHOP0014,P00668,912.05,TRY,421,3.1
SHOP0360,P00748,166.91,EUR,79,1.6
SHOP0172,P00545,521.25,EUR,257,0.7
SHOP0487,P00444,166.54,TRY,376,2.2
SHOP0420,P00856,490.35,GBP,233,2.3
SHOP0200,P00108,587.49,USD,73,4.3
SHOP0042,P00267,914.59,GBP,469,0.9
SHOP0489,P00970,462.14,GBP,290,2.1
SHOP0055,P00035,928.83,EUR,142,1.3
SHOP0219,P00320,987.82,EUR,96,1.9
SHOP0113,P00668,884.94,EUR,31,4.5
SHOP0415,P00800,424.73,EUR,201,2.3
SHOP0016,P00058,185.98,GBP,144,3.6
SHOP0330,P00369,190.29,GBP,393,3.3
SHOP0141,P00413,583.0,EUR,488,0.1
SHOP0249,P00397,726.59,GBP,93,3.0
SHOP0170,P00800,358.76,GBP,8,1.1
SHOP0211,P00649,12.22,GBP,460,3.5
SHOP0212,P00877,396.87,GBP,44,2.2
SHOP0443,P00797,70.72,USD,408,0.7
SHOP0210,P00715,359.0,USD,57,1.7
SHOP0358,P00004,925.57,EUR,220,0.4
SHOP0088,P00924,382.41,EUR,187,3.1
SHOP0220,P00590,529.75,EUR,174,3.3
SHOP0210,P00549,268.86,USD,342,2.3
SHOP0028,P00079,709.04,EUR,379,0.9
SHOP0136,P00961,625.51,USD,316,3.2
SHOP0378,P00145,669.53,TRY,221,4.0
SHOP0345,P00957,555.6,USD,222,2.4
SHOP0059,P00051,385.84,EUR,24,3.6
SHOP0072,P00210,915.53,TRY,168,2.7
SHOP0256,P00771,69.78,USD,93,3.1
SHOP0314,P00645,899.83,USD,196,1.6
SHOP0493,P00801,578.95,EUR,86,1.5
SHOP0290,P00119,448.91,USD,218,3.6
SHOP0116,P00677,371.7,USD,459,2.4
SHOP0147,P00460,486.08,EUR,364,0.2
SHOP0046,P00812,428.19,USD,357,4.0
SHOP0177,P00206,309.45,GBP,79,2.6
SHOP0255,P00319,639.91,TRY,266,0.6
SHOP0400,P00442,790.81,USD,26,2.8
SHOP0186,P00348,89.7,EUR,150,0.0
SHOP0376,P00605,331.29,GBP,225,2.5
SHOP0024,P00059,460.28,GBP,443,3.6
SHOP0027,P00177,603.49,GBP,100,3.0
SHOP0323,P00776,255.09,EUR,63,3.5
SHOP0061,P00237,949.54,EUR,92,4.3
SHOP0037,P00781,780.58,USD,294,3.6
SHOP0339,P00532,545.68,TRY,40,0.7
SHOP0375,P00010,540.15,TRY,219,0.5
SHOP0191,P00936,666.23,USD,396,1.2
SHOP0420,P00141,670.05,TRY,217,1.1
SHOP0387,P00944,301.68,EUR,174,3.1
SHOP0072,P00701,763.94,USD,274,3.7
SHOP0270,P00800,335.42,GBP,82,4.5
SHOP0086,P00539,327.66,USD,275,4.6
SHOP0323,P00674,698.86,USD,399,3.8
SHOP0132,P00346,875.42,TRY,122,0.3
SHOP0395,P00230,765.88,TRY,356,0.8
SHOP0275,P00550,860.81,TRY,23,1.7
SHOP0209,P00287,926.68,USD,396,4.1
SHOP0044,P00005,949.8,EUR,439,1.0
SHOP0110,P00310,379.9,GBP,78,4.9
