id,name,email,address,country,woman_ent_flag,score
SHOP0000,"Mata, Beasley and Johnson",dianapeterson@ballard.com,"68333 Thompson Highway
South Christinaberg, ME 64846",Algeria,True,2.8
SHOP0001,Davis-Parks,dominguezsherry@webb.com,"4335 Morrison Heights
Wangtown, GU 38627",Finland,True,1.6
SHOP0002,Guerra-Wright,rbishop@johnston.com,"PSC 9400, Box 6185
APO AE 13890",Benin,False,1.9
SHOP0003,"Morris, French and Jackson",sergio45@rodriguez.net,"31044 Dawn Rapids Suite 687
Port Sherri, AS 25647",Saint Lucia,False,4.9
SHOP0004,Mccoy Group,brendaclark@anderson.net,"656 Buchanan Views Suite 592
Mariamouth, TX 64129",Cote d'Ivoire,False,4.4
SHOP0005,Jones Ltd,ucurtis@moody.info,"05245 Morris Ville
North Tracyport, MI 63702",Turks and Caicos Islands,False,3.1
SHOP0006,Chapman-Williams,katherinemoore@nichols.biz,"2774 Joshua Square
New Tinaville, WA 76987",Christmas Island,True,4.0
SHOP0007,Good Group,marymiller@duncan.com,"33831 Matthew Hills Suite 556
North Jennifer, OH 36906",Bosnia and Herzegovina,False,1.8
SHOP0008,Mitchell LLC,reginawilson@murillo.info,"399 Lucas Harbor
Curryville, HI 98659",Niger,False,4.5
SHOP0009,Hughes PLC,robertsdavid@jensen-strickland.info,"66270 Todd Gateway
Jeanmouth, MP 02577",Mauritius,False,3.5
SHOP0010,Price and Sons,sanchezerica@delgado.com,"5497 Christopher Highway
Lake Loriville, MT 09844",Oman,True,1.1
SHOP0011,Briggs and Sons,revans@harrison.com,"6446 Hutchinson Key Apt. 373
Port Jofort, MH 36568",Belarus,True,1.9
SHOP0012,Thomas-Compton,carteraaron@ford.biz,"Unit 1668 Box 4128
DPO AP 02113",Hong Kong,False,5.0
SHOP0013,Barrett Ltd,chart@edwards.com,"1372 Courtney Brooks
Robertsside, ME 35170",Togo,True,4.7
SHOP0014,Mills Group,ernestsmith@nelson.com,"601 Maldonado Wall
Martinezchester, VT 67503",New Zealand,True,2.5
SHOP0015,Sosa-Walsh,sheilachavez@young-wright.org,"3857 Molly Course Apt. 776
Morganton, ND 17081",Belize,False,2.8
SHOP0016,Richards and Sons,tmcdonald@joseph.net,"426 Elizabeth Vista
Wilsonshire, NE 76252",Canada,False,3.3
SHOP0017,Martinez-Stephens,amandamacdonald@lee-savage.com,"USNV Cain
FPO AP 03655",Croatia,True,2.8
SHOP0018,Hawkins-Hodges,anthonysmith@gilbert.com,"6961 Tara Mountains Suite 753
Brianmouth, MN 89048",Saint Martin,True,3.5
SHOP0019,Fischer PLC,morantroy@mckay.com,"54706 John Tunnel Suite 343
Justinchester, AS 90510",Guadeloupe,True,3.9
SHOP0020,"Boyer, Fischer and Lewis",ryanking@good.org,"7838 Lee Vista Apt. 514
Jasonmouth, GU 81081",Ireland,False,1.4
SHOP0021,Hurst-Kline,hmiller@gray.com,"5247 Morrison Villages
West Brooke, VI 57521",Afghanistan,False,4.9
SHOP0022,Pennington Inc,emily33@jackson-newman.info,"857 Rhonda Springs
Port Ronaldberg, WI 23876",Mayotte,False,4.7
SHOP0023,"Collins, Scott and Mcfarland",heather08@wagner.net,"200 Mitchell Cliff
South Bradley, RI 50118",New Caledonia,True,2.6
SHOP0024,Rodriguez-King,freed@cox.com,"7409 Williams Port Apt. 642
Parkshaven, IA 38290",North Macedonia,True,1.8
SHOP0025,"Berry, Lowe and Cox",antonio93@king.com,"11120 Sanchez Lane Suite 236
Lake Kelseyburgh, NV 60527",Taiwan,True,1.5
SHOP0026,Wade Group,karenramsey@martinez-martinez.com,"3292 Rodriguez Place
Odonnellfort, MA 26268",Nepal,True,3.1
SHOP0027,"Torres, Ramos and Fields",bradley02@mercado.info,"58412 Levi Course
Jasmineberg, ID 01862",United States Virgin Islands,True,2.0
SHOP0028,Jones-Stewart,sandra66@nguyen-lewis.com,"67922 Barnett Road
New Antonio, KY 63652",Chile,True,1.1
SHOP0029,Mejia Inc,imorris@donovan.org,"718 Philip Oval Suite 628
Jennifertown, IA 54316",Mauritania,False,1.5
SHOP0030,Gonzales Group,william03@tyler.com,"0803 Marquez Manors Apt. 446
Jacobsonmouth, DC 96740",Luxembourg,False,3.0
SHOP0031,Singh and Sons,thompsondominic@wilson.info,"USNV Chan
FPO AP 21438",Cambodia,True,2.2
SHOP0032,"Smith, Maxwell and Nelson",joannestewart@phillips-james.com,"607 Elliott Road
South Maryland, PW 76395",Netherlands,True,2.8
SHOP0033,Juarez and Sons,nataliewilliams@gilbert.com,"65888 Alexis Tunnel
Port Sonyatown, MT 50613",Ghana,True,2.1
SHOP0034,Edwards and Sons,cunninghamjennifer@clements.com,"7168 Jimenez Freeway
Youngshire, WY 83496",Botswana,False,1.6
SHOP0035,Hardin and Sons,gibbsdenise@brown-fox.com,"Unit 3458 Box 6601
DPO AE 06806",Uganda,True,2.1
SHOP0036,Dunlap Inc,ashley83@ferguson-king.com,"Unit 2890 Box 2556
DPO AE 29474",Netherlands,False,1.8
SHOP0037,Sanford Ltd,george02@barber-black.com,"383 Webster Union Suite 774
Swansonville, FL 60420",Cyprus,False,4.3
SHOP0038,"Cervantes, Petersen and Russo",burnettdeborah@white.com,"1929 Martin Lake Suite 025
Michelleton, UT 45713",Bermuda,False,4.0
SHOP0039,"Ward, Mcmillan and Watkins",hernandezmichael@west.com,"Unit 7244 Box 3357
DPO AA 28315",Nauru,True,1.5
SHOP0040,Carroll Ltd,iparker@edwards.com,"26363 Jillian Roads Apt. 890
Mcgrathhaven, MN 48192",Ghana,True,2.9
